iter	MultiClass
0	1.086719626
1	1.073026946
2	1.06034621
3	1.049274184
4	1.036470331
5	1.024630403
6	1.014124697
7	1.002665595
8	0.9907088344
9	0.9797582666
10	0.9704813261
11	0.9606544975
12	0.9507289975
13	0.9409050865
14	0.9310203529
15	0.9208993129
16	0.9116676899
17	0.9022553812
18	0.8936200179
19	0.8844361847
20	0.8749272579
21	0.8661391518
22	0.8581148829
23	0.8500882738
24	0.8417151946
25	0.8341001446
26	0.825577957
27	0.8184273465
28	0.8107063223
29	0.8040853539
30	0.7964657731
31	0.7893182573
32	0.7823089006
33	0.7752006925
34	0.7682121244
35	0.7615666519
36	0.7548827775
37	0.7480833692
38	0.7422036052
39	0.7357541161
40	0.7300528006
41	0.724400265
42	0.7182196586
43	0.7124360508
44	0.7064920106
45	0.7000188914
46	0.6940527092
47	0.6888301421
48	0.6826183057
49	0.6773076994
50	0.671554492
51	0.6658079467
52	0.6604804793
53	0.6547140219
54	0.6493680088
55	0.64485834
56	0.6396695348
57	0.634432653
58	0.6294115428
59	0.6242766166
60	0.6195805091
61	0.615071591
62	0.6100165312
63	0.6054673975
64	0.6010952958
65	0.5966376005
66	0.5922436952
67	0.588401237
68	0.5843777736
69	0.5801389402
70	0.5761784448
71	0.5721995151
72	0.5681543101
73	0.5640562717
74	0.5598141461
75	0.5558942726
76	0.5519374173
77	0.5480916397
78	0.5447379518
79	0.5410113554
80	0.5378467457
81	0.5339676429
82	0.5305323968
83	0.5270975794
84	0.5234460892
85	0.5198346342
86	0.516354252
87	0.5127763712
88	0.5096910168
89	0.5062425599
90	0.5027199698
91	0.4993448737
92	0.4962316547
93	0.4929404371
94	0.4901349061
95	0.4868992631
96	0.4838679842
97	0.4806460076
98	0.4780168406
99	0.4750851936
100	0.4718845123
101	0.4690069414
102	0.4661132972
103	0.4636263022
104	0.4607680097
105	0.4577075074
106	0.4552160388
107	0.4525985142
108	0.4499245081
109	0.4472792515
110	0.4446673871
111	0.4423142833
112	0.4396931257
113	0.4374060687
114	0.4352497045
115	0.4324099627
116	0.4298224167
117	0.4273645496
118	0.424931114
119	0.4223397822
120	0.4199970767
121	0.4179136045
122	0.4156835504
123	0.4135009687
124	0.4111155845
125	0.4088799951
126	0.4066936397
127	0.4045749922
128	0.4025351024
129	0.4004454009
130	0.3980473509
131	0.3961158279
132	0.3939558513
133	0.3919002523
134	0.3900347477
135	0.3879770807
136	0.3862060833
137	0.3843186831
138	0.3824631642
139	0.3807376634
140	0.3788537462
141	0.3770448132
142	0.3750255253
143	0.3732688214
144	0.3712493934
145	0.3691860685
146	0.3672461945
147	0.3655134902
148	0.3637977125
149	0.3617900559
150	0.3600536359
151	0.3583651828
152	0.3566061273
153	0.3551805569
154	0.3534252953
155	0.3518476192
156	0.3502244755
157	0.3486338739
158	0.3471648039
159	0.3457391893
160	0.3441830142
161	0.3424505113
162	0.3406972005
163	0.3393309435
164	0.3377470403
165	0.3359588367
166	0.3344097264
167	0.3328971324
168	0.3312516295
169	0.3299368959
170	0.3285660109
171	0.3270112151
172	0.3256582087
173	0.3242329489
174	0.3227573945
175	0.3213903069
176	0.3200126794
177	0.3186562484
178	0.3173423546
179	0.3161276238
180	0.314830584
181	0.3135868517
182	0.3122909168
183	0.3109609267
184	0.3096171848
185	0.3083840849
186	0.307007468
187	0.3058131729
188	0.3046146715
189	0.3034120299
190	0.3023302663
191	0.3011246945
192	0.2998581593
193	0.2988173117
194	0.297575107
195	0.296393215
196	0.2953766125
197	0.2941575971
198	0.2930585999
199	0.291966303
200	0.2908501076
201	0.2897976406
202	0.2887710239
203	0.2877163108
204	0.2865971051
205	0.2855512599
206	0.2844309485
207	0.2835068495
208	0.2823827795
209	0.2814087833
210	0.280384639
211	0.2794612186
212	0.2785050918
213	0.2775837857
214	0.2765539261
215	0.2755101024
216	0.2744944087
217	0.273487738
218	0.2724699785
219	0.2714503061
220	0.2705398091
221	0.2696440587
222	0.2687636584
223	0.2678625378
224	0.2669202856
225	0.265983943
226	0.2650857834
227	0.2642052129
228	0.2633653386
229	0.2624497244
230	0.2615018004
231	0.2608115514
232	0.2598171214
233	0.2591059111
234	0.2582802201
235	0.2574570313
236	0.2565397998
237	0.2557309306
238	0.2550366935
239	0.2542962375
240	0.253531279
241	0.2527162554
242	0.2518491809
243	0.2510485475
244	0.2502467896
245	0.2495024092
246	0.2486871542
247	0.2478043804
248	0.2471077503
249	0.246269968
250	0.2456529156
251	0.2450147972
252	0.2442633469
253	0.2436132967
254	0.2426987355
255	0.241933279
256	0.2411635532
257	0.2405442458
258	0.2398406842
259	0.2390317056
260	0.2382727429
261	0.237522641
262	0.2368651501
263	0.2361139582
264	0.2353265662
265	0.2347733214
266	0.2341397972
267	0.2333639301
268	0.2326697431
269	0.2319926768
270	0.231366486
271	0.2306934106
272	0.2300473184
273	0.2292381951
274	0.2286280088
275	0.2280635363
276	0.2275473983
277	0.2268492767
278	0.2262575626
279	0.2257936233
280	0.2252597693
281	0.2246113532
282	0.2239960035
283	0.2233819808
284	0.2226880354
285	0.222101874
286	0.2215293328
287	0.2209533229
288	0.2204133411
289	0.2196527546
290	0.2191251814
291	0.2185698607
292	0.217939328
293	0.2173928367
294	0.2168822931
295	0.2162825614
296	0.2157664439
297	0.2152433987
298	0.2148131636
299	0.2143642032
300	0.2138377088
301	0.2133871819
302	0.212794395
303	0.212254569
304	0.2117863741
305	0.2112726183
306	0.2107568659
307	0.21026346
308	0.2096746179
309	0.2090858468
310	0.208471946
311	0.2079353237
312	0.20727205
313	0.2068243361
314	0.2062795647
315	0.2058602125
316	0.2054918903
317	0.2049901872
318	0.2045517147
319	0.2041499083
320	0.2036466757
321	0.2031947495
322	0.2026093021
323	0.2020780782
324	0.2016113835
325	0.2010791436
326	0.2006390278
327	0.2001079401
328	0.1995872415
329	0.1990189133
330	0.1985545879
331	0.1981332142
332	0.1977747371
333	0.1973423142
334	0.1969411084
335	0.1964848106
336	0.1961149968
337	0.1956400026
338	0.1951788105
339	0.1947013137
340	0.1942845005
341	0.1938702534
342	0.1933919748
343	0.1929939719
344	0.1925914409
345	0.1922069323
346	0.191726072
347	0.1913868033
348	0.1909802231
349	0.190535235
350	0.1902060275
351	0.1898627948
352	0.1895396225
353	0.1891862423
354	0.1887668352
355	0.1882602583
356	0.1879264657
357	0.1875356281
358	0.1871901999
359	0.1867845868
360	0.186337719
361	0.1860385142
362	0.1857269527
363	0.1853386231
364	0.184964394
365	0.1845337875
366	0.1841469429
367	0.1837999186
368	0.1833977226
369	0.1830048864
370	0.1826438966
371	0.1822200741
372	0.1818191813
373	0.181448714
374	0.1811195191
375	0.1807554497
376	0.1804716931
377	0.1801071414
378	0.1797341377
379	0.1794545716
380	0.1790447304
381	0.178759357
382	0.1785154059
383	0.1780523234
384	0.1776454189
385	0.1772674448
386	0.1769935776
387	0.1766264843
388	0.1762799043
389	0.1759918216
390	0.1756850195
391	0.1754076357
392	0.1750871663
393	0.1747989893
394	0.1745221602
395	0.1741561592
396	0.1739201351
397	0.173658802
398	0.1733145534
399	0.1730247932
400	0.1727032359
401	0.1724234764
402	0.1721648624
403	0.1718652029
404	0.1715542367
405	0.1713039165
406	0.1709950298
407	0.1707480322
408	0.1703654641
409	0.1700706885
410	0.1697513245
411	0.1693223763
412	0.1690483577
413	0.1687660953
