iter	Passed	Remaining
401	6516	9693
402	6523	9664
403	6530	9634
404	6537	9605
405	6544	9575
406	6556	9552
407	6563	9523
408	6571	9496
409	6584	9475
410	6597	9454
411	6609	9433
412	6621	9411
413	6631	9386
414	6639	9359
415	6651	9337
416	6661	9312
417	6671	9289
418	6682	9266
419	6693	9242
420	6704	9220
421	6714	9196
422	6723	9171
423	6733	9147
424	6741	9121
425	6748	9093
426	6757	9068
427	6765	9041
428	6774	9017
429	6783	8992
430	6792	8967
431	6801	8942
432	6809	8916
433	6821	8896
434	6836	8879
435	6852	8864
436	6867	8848
437	6876	8823
438	6890	8805
439	6905	8789
440	6920	8772
441	6934	8754
442	6948	8736
443	6961	8718
444	6975	8700
445	6987	8680
446	7002	8663
447	7023	8653
448	7036	8634
449	7049	8615
450	7066	8601
451	7085	8590
452	7104	8578
453	7128	8572
454	7152	8567
455	7169	8552
456	7194	8548
457	7212	8535
458	7236	8529
459	7255	8517
460	7270	8501
461	7283	8481
462	7294	8460
463	7308	8442
464	7322	8424
465	7331	8401
466	7342	8380
467	7356	8362
468	7368	8343
469	7379	8321
470	7391	8301
471	7402	8280
472	7413	8259
473	7420	8234
474	7428	8210
475	7436	8186
476	7443	8161
477	7452	8138
478	7462	8116
479	7472	8094
480	7479	8070
481	7491	8051
482	7505	8033
483	7514	8011
484	7528	7994
485	7541	7976
486	7555	7959
487	7567	7939
488	7580	7921
489	7591	7901
490	7605	7884
491	7616	7864
492	7629	7846
493	7640	7826
494	7652	7807
495	7664	7788
496	7677	7770
497	7688	7749
498	7698	7728
499	7707	7707
500	7718	7687
501	7727	7665
502	7739	7647
503	7749	7626
504	7760	7606
505	7769	7584
506	7779	7564
507	7790	7545
508	7799	7523
509	7810	7504
510	7822	7485
511	7830	7463
512	7841	7444
513	7852	7424
514	7862	7404
515	7873	7385
516	7882	7363
517	7891	7342
518	7899	7320
519	7908	7299
520	7916	7278
521	7924	7256
522	7932	7235
523	7941	7214
524	7949	7192
525	7958	7172
526	7969	7153
527	7979	7132
528	7989	7113
529	7998	7092
530	8007	7072
531	8017	7053
532	8028	7034
533	8036	7013
534	8044	6991
535	8051	6970
536	8059	6948
537	8067	6927
538	8077	6908
539	8089	6891
540	8100	6872
541	8110	6853
542	8122	6835
543	8135	6819
544	8145	6799
545	8157	6782
546	8172	6768
547	8189	6754
548	8204	6739
549	8212	6719
550	8224	6701
551	8237	6685
552	8247	6666
553	8269	6657
554	8284	6642
555	8295	6624
556	8304	6605
557	8315	6586
558	8325	6567
559	8333	6547
560	8340	6526
561	8348	6506
562	8360	6489
563	8373	6473
564	8388	6458
565	8397	6439
566	8410	6423
567	8424	6407
568	8439	6393
569	8453	6377
570	8469	6363
571	8482	6346
572	8497	6332
573	8511	6316
574	8524	6300
575	8538	6285
576	8553	6270
577	8568	6255
578	8583	6240
579	8600	6227
580	8618	6215
581	8644	6208
582	8671	6202
583	8688	6189
584	8708	6177
585	8739	6174
586	8768	6169
587	8784	6155
588	8799	6140
589	8816	6127
590	8841	6118
591	8861	6107
592	8883	6096
593	8902	6084
594	8929	6078
595	8950	6067
596	8966	6052
597	8980	6037
598	8993	6020
599	9010	6006
600	9030	5995
601	9051	5984
602	9076	5975
603	9099	5965
604	9119	5954
605	9137	5940
606	9149	5923
607	9162	5907
608	9174	5890
609	9185	5873
610	9213	5865
611	9227	5850
612	9239	5832
613	9249	5815
614	9263	5798
615	9276	5782
616	9288	5765
617	9297	5747
618	9311	5731
619	9324	5714
620	9333	5696
621	9340	5676
622	9348	5656
623	9355	5637
624	9363	5617
625	9370	5598
626	9377	5578
627	9386	5559
628	9394	5541
629	9403	5522
630	9418	5507
631	9430	5491
632	9445	5476
633	9458	5460
634	9474	5446
635	9485	5428
636	9500	5414
637	9515	5398
638	9530	5384
639	9546	5369
640	9557	5352
641	9570	5336
642	9585	5321
643	9598	5306
644	9608	5288
645	9624	5274
646	9639	5259
647	9652	5243
648	9676	5233
649	9703	5224
650	9731	5216
651	9755	5207
652	9787	5201
653	9813	5191
654	9839	5182
655	9852	5166
656	9864	5149
657	9876	5133
658	9891	5118
659	9901	5100
660	9914	5084
661	9922	5066
662	9930	5047
663	9938	5028
664	9946	5010
665	9953	4991
666	9961	4973
667	9968	4954
668	9978	4936
669	9986	4918
670	9995	4900
671	10012	4887
672	10021	4869
673	10036	4854
674	10049	4838
675	10064	4823
676	10080	4809
677	10095	4794
678	10104	4777
679	10120	4762
680	10134	4747
681	10143	4729
682	10158	4714
683	10170	4698
684	10183	4682
685	10194	4666
686	10207	4650
687	10216	4633
688	10224	4615
689	10234	4598
690	10241	4579
691	10249	4561
692	10258	4544
693	10266	4526
694	10274	4508
695	10283	4491
696	10292	4474
697	10315	4463
698	10337	4451
699	10367	4443
700	10394	4433
701	10415	4421
702	10433	4407
703	10447	4392
704	10459	4376
705	10468	4359
706	10477	4342
707	10485	4324
708	10493	4306
709	10500	4288
710	10508	4271
711	10515	4253
712	10523	4235
713	10531	4218
714	10539	4201
715	10551	4185
716	10568	4171
717	10583	4156
718	10596	4141
719	10614	4127
720	10623	4110
721	10639	4096
722	10653	4081
723	10670	4067
724	10686	4053
725	10699	4038
726	10714	4023
727	10728	4008
728	10738	3991
729	10752	3977
730	10764	3961
731	10774	3944
732	10786	3928
733	10794	3911
734	10806	3896
735	10817	3880
736	10829	3864
737	10840	3848
738	10854	3833
739	10865	3817
740	10876	3801
741	10886	3785
742	10896	3769
743	10906	3752
744	10915	3736
745	10922	3718
746	10930	3701
747	10936	3684
748	10944	3667
749	10953	3651
750	10960	3634
751	10968	3617
752	10976	3600
753	10985	3584
754	10994	3567
755	11006	3552
756	11016	3536
757	11026	3520
758	11036	3504
759	11044	3487
760	11053	3471
761	11062	3455
762	11072	3439
763	11080	3422
764	11089	3406
765	11099	3390
766	11110	3375
767	11128	3361
768	11146	3348
769	11157	3332
770	11167	3316
771	11176	3300
772	11189	3286
773	11199	3270
774	11208	3254
775	11234	3242
776	11253	3229
777	11266	3214
778	11281	3200
779	11294	3185
780	11313	3172
781	11328	3158
782	11338	3142
783	11348	3126
784	11357	3110
785	11366	3094
786	11374	3078
787	11382	3062
788	11389	3045
789	11397	3029
790	11415	3016
791	11434	3003
792	11448	2988
793	11464	2974
794	11481	2960
795	11493	2945
796	11508	2931
797	11521	2916
798	11538	2902
799	11552	2888
800	11563	2872
801	11578	2858
802	11592	2843
803	11603	2828
804	11619	2814
805	11634	2800
806	11647	2785
807	11657	2770
808	11673	2755
809	11686	2741
810	11698	2726
811	11713	2711
812	11728	2697
813	11742	2683
814	11758	2669
815	11773	2654
816	11783	2639
817	11798	2625
818	11813	2610
819	11825	2595
820	11839	2581
821	11853	2566
822	11869	2552
823	11884	2538
824	11898	2523
825	11913	2509
826	11923	2494
827	11938	2479
828	11956	2466
829	11967	2451
830	11983	2436
831	11995	2422
832	12008	2407
833	12021	2392
834	12034	2378
835	12045	2362
836	12056	2347
837	12066	2332
838	12078	2317
839	12088	2302
840	12100	2287
841	12112	2272
842	12122	2257
843	12132	2242
844	12139	2226
845	12147	2211
846	12155	2195
847	12163	2180
848	12171	2164
849	12179	2149
850	12190	2134
851	12206	2120
852	12217	2105
853	12230	2090
854	12245	2076
855	12259	2062
856	12272	2047
857	12285	2033
858	12299	2018
859	12313	2004
860	12327	1990
861	12339	1975
862	12355	1961
863	12368	1946
864	12381	1932
865	12394	1917
866	12405	1902
867	12418	1888
868	12433	1874
869	12444	1859
870	12453	1844
871	12463	1829
872	12475	1814
873	12484	1799
874	12493	1784
875	12503	1769
876	12514	1755
877	12524	1740
878	12534	1725
879	12542	1710
880	12551	1695
881	12558	1680
882	12565	1664
883	12573	1649
884	12582	1634
885	12590	1620
886	12598	1604
887	12605	1589
888	12613	1574
889	12623	1560
890	12633	1545
891	12642	1530
892	12650	1515
893	12657	1500
894	12665	1485
895	12672	1470
896	12680	1456
897	12687	1441
898	12696	1426
899	12703	1411
900	12713	1396
901	12724	1382
902	12736	1368
903	12749	1353
904	12758	1339
905	12767	1324
906	12775	1309
907	12783	1295
908	12791	1280
909	12799	1265
910	12807	1251
911	12814	1236
912	12822	1221
913	12829	1207
914	12839	1192
915	12852	1178
916	12866	1164
917	12878	1150
918	12892	1136
919	12905	1122
920	12916	1107
921	12929	1093
922	12941	1079
923	12954	1065
924	12965	1051
925	12978	1037
926	12990	1022
927	13003	1008
928	13017	994
929	13027	980
930	13037	966
931	13047	951
932	13056	937
933	13064	923
934	13072	908
935	13080	894
936	13089	880
937	13097	865
938	13106	851
939	13115	837
940	13124	822
941	13133	808
942	13148	794
943	13162	780
944	13181	767
945	13212	754
946	13250	741
947	13279	728
948	13310	715
949	13336	701
950	13350	687
951	13360	673
952	13376	659
953	13392	645
954	13403	631
955	13418	617
956	13433	603
957	13445	589
958	13460	575
959	13474	561
960	13487	547
961	13501	533
962	13512	519
963	13527	505
964	13541	491
965	13553	477
966	13568	463
967	13579	448
968	13593	434
969	13606	420
970	13621	406
971	13634	392
972	13647	378
973	13658	364
974	13674	350
975	13700	336
976	13726	323
977	13756	309
978	13786	295
979	13804	281
980	13818	267
981	13829	253
982	13838	239
983	13847	225
984	13856	211
985	13871	196
986	13880	182
987	13889	168
988	13899	154
989	13914	140
990	13929	126
991	13944	112
992	13957	98
993	13971	84
994	13986	70
995	14000	56
996	14017	42
997	14027	28
998	14042	14
999	14053	0
